#           X                Y                 Ex                Ey                Ez                E 
      0.3482000000      1.3928000000      1.6071755911      6.6985992305      0.0000000000      6.8887041620
      0.3482000000      1.5669000000      1.1227220546      5.3759109369     -0.0000000000      5.4918961401
      0.3482000000      1.7410000000      0.8036401520      4.3982918302      0.0000000000      4.4711081979
      0.3482000000      1.9151000000      0.5851103564      3.6573471637      0.0000000000      3.7038550734
      0.3482000000      2.0892000000      0.4303759053      3.0834166987      0.0000000000      3.1133072379
      0.3482000000      2.2633000000      0.3176084646      2.6303574833      0.0000000000      2.6494632714
      0.3482000000      2.4374000000      0.2333201244      2.2667478816      0.0000000000      2.2787242569
      0.3482000000      2.6115000000      0.1688852876      1.9706517180      0.0000000000      1.9778752321
      0.3482000000      2.7856000000      0.1186202164      1.7264092960      0.0000000000      1.7304796482
      0.3482000000      2.9597000000      0.0786800684      1.5226156525      0.0000000000      1.5246471652
      0.3482000000      3.1338000000      0.0464030442      1.3508138791     -0.0000000000      1.3516106609
      0.3482000000      3.3079000000      0.0199081960      1.2046306130      0.0000000000      1.2047951071
      0.3482000000      3.4820000000     -0.0021580846      1.0791917197      0.0000000000      1.0791938774
      0.3482000000      3.6561000000     -0.0207858479      0.9707195807      0.0000000000      0.9709420971
      0.3482000000      3.8302000000     -0.0367097741      0.8762505559      0.0000000000      0.8770191812
      0.3482000000      4.0043000000     -0.0504820908      0.7934335005      0.0000000000      0.7950378363
      0.3482000000      4.1784000000     -0.0625226264      0.7203839217      0.0000000000      0.7230920228
      0.3482000000      4.3525000000     -0.0731537482      0.6555769487      0.0000000000      0.6596458190
      0.3482000000      4.5266000000     -0.0826251304      0.5977677861      0.0000000000      0.6034511068
      0.3482000000      4.7007000000     -0.0911315617      0.5459318986      0.0000000000      0.5534858620
      0.3482000000      4.8748000000     -0.0988259211      0.4992195411      0.0000000000      0.5089073717
      0.3482000000      5.0489000000     -0.1058287513      0.4569208459      0.0000000000      0.4690164006
      0.3482000000      5.2230000000     -0.1122354040      0.4184387609      0.0000000000      0.4332294802
      0.3482000000      5.3971000000     -0.1181214352      0.3832678891      0.0000000000      0.4010572880
      0.3482000000      5.5712000000     -0.1235467223      0.3509778048      0.0000000000      0.3720876403
      0.3482000000      5.7453000000     -0.1285586399      0.3211997951      0.0000000000      0.3459720108
      0.3482000000      5.9194000000     -0.1331945351      0.2936162442      0.0000000000      0.3224147686
      0.3482000000      6.0935000000     -0.1374836773      0.2679520723      0.0000000000      0.3011645307
      0.3482000000      6.2676000000     -0.1414488091      0.2439677815      0.0000000000      0.2820071701
      0.3482000000      6.4417000000     -0.1451073946      0.2214537669      0.0000000000      0.2647601307
      0.3482000000      6.6158000000     -0.1484726315      0.2002256297      0.0000000000      0.2492677779
      0.3482000000      6.7899000000     -0.1515542824      0.1801202870      0.0000000000      0.2353975750
      0.3482000000      6.9640000000     -0.1543593619      0.1609927171      0.0000000000      0.2230369197
      0.3482000000      7.1381000000     -0.1568927094      0.1427132143      0.0000000000      0.2120905085
      0.3482000000      7.3122000000     -0.1591574703      0.1251650531      0.0000000000      0.2024781244
      0.3482000000      7.4863000000     -0.1611555003      0.1082424795      0.0000000000      0.1941327629
      0.3482000000      7.6604000000     -0.1628877072      0.0918489668     -0.0000000000      0.1869990317
      0.3482000000      7.8345000000     -0.1643543375      0.0758956817      0.0000000000      0.1810317728
      0.3482000000      8.0086000000     -0.1655552153      0.0603001181      0.0000000000      0.1761948738
      0.3482000000      8.1827000000     -0.1664899386      0.0449848636     -0.0000000000      0.1724602493
      0.3482000000      8.3568000000     -0.1671580359      0.0298764685      0.0000000000      0.1698069856
      0.3482000000      8.5309000000     -0.1675590863      0.0149043913      0.0000000000      0.1682206535
      0.3482000000      8.7050000000     -0.1676928034      0.0000000000      0.0000000000      0.1676928034
      0.3482000000      8.8791000000     -0.1675590863     -0.0149043913     -0.0000000000      0.1682206535
      0.3482000000      9.0532000000     -0.1671580359     -0.0298764685      0.0000000000      0.1698069856
      0.3482000000      9.2273000000     -0.1664899386     -0.0449848636     -0.0000000000      0.1724602493
      0.3482000000      9.4014000000     -0.1655552153     -0.0603001181      0.0000000000      0.1761948738
      0.3482000000      9.5755000000     -0.1643543375     -0.0758956817      0.0000000000      0.1810317728
      0.3482000000      9.7496000000     -0.1628877072     -0.0918489668      0.0000000000      0.1869990317
      0.3482000000      9.9237000000     -0.1611555003     -0.1082424795      0.0000000000      0.1941327629
      0.3482000000     10.0978000000     -0.1591574703     -0.1251650531      0.0000000000      0.2024781244
      0.3482000000     10.2719000000     -0.1568927094     -0.1427132143      0.0000000000      0.2120905085
      0.3482000000     10.4460000000     -0.1543593619     -0.1609927171      0.0000000000      0.2230369197
      0.3482000000     10.6201000000     -0.1515542824     -0.1801202870      0.0000000000      0.2353975750
      0.3482000000     10.7942000000     -0.1484726315     -0.2002256297      0.0000000000      0.2492677779
